,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,placeLabel,ao_link,ao_description,address,url,description,fetched_coordinates
325,http://www.wikidata.org/entity/Q84347413,,https://en.wikipedia.org/wiki/Tala_Bridge,Point(88.3756963 22.6087115),4.189,22.6087115,88.3756963,3.0,http://www.wikidata.org/entity/Q19860854,Tala Bridge,destroyed building or structure,C,yellow,,,,,,,
328,http://www.wikidata.org/entity/Q115705087,,https://en.wikipedia.org/wiki/Howrah_Planetarium_and_Astronomical_Research_Centre,Point(88.331262 22.5822313),3.516,22.5822313,88.331262,3.0,http://www.wikidata.org/entity/Q148319,Howrah Planetarium and Astronomical Research Centre,planetarium,C,yellow,,,,,,,
332,http://www.wikidata.org/entity/Q4841997,,https://en.wikipedia.org/wiki/Bagmari-Manicktala_Government_Sponsored_Higher_Secondary_School,Point(88.3928 22.5816),3.13,22.58160000041,88.392800000075,2.0,http://www.wikidata.org/entity/Q64062731,Bagmari-Manicktala Government Sponsored Higher Secondary School,higher secondary school,C,yellow,,,,,,,
336,http://www.wikidata.org/entity/Q4901500,,https://en.wikipedia.org/wiki/Bhavan%27s_Gangabux_Kanoria_Vidyamandir,Point(88.402844 22.577344),4.033,22.577344,88.402844,2.0,http://www.wikidata.org/entity/Q159334,Bhavan's Gangabux Kanoria Vidyamandir,secondary school,C,yellow,,,,,,,
339,http://www.wikidata.org/entity/Q5018954,,https://en.wikipedia.org/wiki/Calcutta_School_of_Music,Point(88.361438888 22.531769444),4.552,22.531769444444,88.361438888889,2.0,http://www.wikidata.org/entity/Q1021290,Calcutta School of Music,music school,C,yellow,,,,,,,
340,http://www.wikidata.org/entity/Q5087933,,https://en.wikipedia.org/wiki/Chatterjee_International_Center,Point(88.34800556 22.55325278),2.704,22.55325278,88.34800556,2.0,http://www.wikidata.org/entity/Q41176,Chatterjee International Center,building,C,yellow,,,,,,,
346,http://www.wikidata.org/entity/Q5577135,,https://en.wikipedia.org/wiki/Goenka_College_of_Commerce_and_Business_Administration,Point(88.361394444 22.569827777),0.405,22.569827777778,88.361394444444,2.0,http://www.wikidata.org/entity/Q1143635,Goenka College of Commerce and Business Administration,business school,C,yellow,,,,,,,
347,http://www.wikidata.org/entity/Q5608247,,https://en.wikipedia.org/wiki/Aurobindo_Sarani,Point(88.371019444 22.594686111),2.557,22.594686111111,88.371019444444,2.0,http://www.wikidata.org/entity/Q79007,Sri Aurobindo Sarani,street,C,yellow,,,,,,,
349,http://www.wikidata.org/entity/Q6319406,,https://en.wikipedia.org/wiki/Jyoti_Cinema_(Kolkata),Point(88.3535 22.5636),1.467,22.5636,88.3535,2.0,http://www.wikidata.org/entity/Q41253,Jyoti Cinema,movie theater,C,yellow,,,,,,,
355,http://www.wikidata.org/entity/Q6893503,,https://en.wikipedia.org/wiki/Mohammedan_Sporting_Ground,Point(88.345871 22.562342),2.177,22.562342,88.345871,2.0,http://www.wikidata.org/entity/Q1154710,Mohammedan Sporting Ground,association football venue,C,yellow,,,,,,,
357,http://www.wikidata.org/entity/Q7112897,,https://en.wikipedia.org/wiki/Outram_Ghat,Point(88.338263 22.564167),2.796,22.564167,88.338263,2.0,http://www.wikidata.org/entity/Q1010155,Outram Ghat,ghat,C,yellow,,,,,,,
