,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,item,articleDE,articleEN,location,distance,sitelinks,thing,to_drop_key
142,https://www.atlasobscura.com/places/sasbahu-temples,26.223256,78.167927,"
Sasbahu Temples
","
A pair of nearly 1,000-year-old temples profusely covered in meticulous stone carvings.
6,,26.226388888889,78.224722222222,Morar Cantonment,,A,green,,,cantonment town,,,http://www.wikidata.org/entity/Q2725698,,https://en.wikipedia.org/wiki/Morar_Cantonment,Point(78.224722222 26.226388888),7.176,13.0,http://www.wikidata.org/entity/Q57178953,"('26.226388888889', '78.224722222222')"
10,,26.23333333,78.16666667,Gwalior division,,A,green,,,division of Madhya Pradesh,,,http://www.wikidata.org/entity/Q1557788,https://de.wikipedia.org/wiki/Gwalior_(Division),https://en.wikipedia.org/wiki/Gwalior_division,Point(78.16666667 26.23333333),3.42,12.0,http://www.wikidata.org/entity/Q124669069,"('26.23333333', '78.16666667')"
11,,26.205425,78.158225,Roman Catholic Diocese of Gwalior,,A,green,,,diocese of the Catholic Church,,,http://www.wikidata.org/entity/Q869350,https://de.wikipedia.org/wiki/Bistum_Gwalior,https://en.wikipedia.org/wiki/Roman_Catholic_Diocese_of_Gwalior,Point(78.158225 26.205425),0.208,11.0,http://www.wikidata.org/entity/Q3146899,"('26.205425', '78.158225')"
13,,26.220305555556,78.165888888889,Teli ka Temple,,B,violet,,,Hindu temple,,,http://www.wikidata.org/entity/Q1800304,https://de.wikipedia.org/wiki/Teli-ka-Mandir,https://en.wikipedia.org/wiki/Teli_ka_Mandir,Point(78.165888888 26.220305555),2.03,9.0,http://www.wikidata.org/entity/Q842402,"('26.220305555556', '78.165888888889')"
14,,26.20472,78.16859,Jai Vilas Mahal,,B,violet,,,museum,,,http://www.wikidata.org/entity/Q6123487,,https://en.wikipedia.org/wiki/Jai_Vilas_Mahal,Point(78.16859 26.20472),1.126,9.0,http://www.wikidata.org/entity/Q33506,"('26.20472', '78.16859')"
15,,26.214777777778,78.1675,Gopachal rock-cut Jain monuments,,B,violet,,,architectural structure,,,http://www.wikidata.org/entity/Q12424488,,https://en.wikipedia.org/wiki/Gopachal_rock-cut_Jain_monuments,Point(78.1675 26.214777777),1.592,7.0,http://www.wikidata.org/entity/Q811979,"('26.214777777778', '78.1675')"
17,,26.2,78.2,Gird,,B,violet,,,region of India,,,http://www.wikidata.org/entity/Q3634648,,"https://en.wikipedia.org/wiki/Gird,_India",Point(78.2 26.2),4.274,6.0,http://www.wikidata.org/entity/Q26280629,"('26.2', '78.2')"
18,,26.210683,78.183581,Roop Singh Stadium,,B,violet,,,stadium,,,http://www.wikidata.org/entity/Q3515393,,https://en.wikipedia.org/wiki/Captain_Roop_Singh_Stadium,Point(78.183581 26.210683),2.728,5.0,http://www.wikidata.org/entity/Q483110,"('26.210683', '78.183581')"
20,,26.22394444,78.17025,Sasbahu Temple,,B,violet,,,Hindu temple,,,http://www.wikidata.org/entity/Q7424948,,"https://en.wikipedia.org/wiki/Sasbahu_Temple,_Gwalior",Point(78.17025 26.22394444),2.59,5.0,http://www.wikidata.org/entity/Q842402,"('26.22394444', '78.17025')"
21,,26.234,78.125,Gwalior International Cricket Stadium,,B,violet,,,cricket field,,,http://www.wikidata.org/entity/Q24748068,,https://en.wikipedia.org/wiki/Shrimant_Madhavrao_Scindia_Cricket_Stadium,Point(78.125 26.234),4.664,5.0,http://www.wikidata.org/entity/Q682943,"('26.234', '78.125')"
