item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel
http://www.wikidata.org/entity/Q49317439,,,Point(81.118055555 26.888333333),19.035,26.888333333333,81.118055555556,1,http://www.wikidata.org/entity/Q10313934,Q49317439,intermittent lake
http://www.wikidata.org/entity/Q49317782,,,Point(80.997777777 26.990833333),18.101,26.990833333333,80.997777777778,1,http://www.wikidata.org/entity/Q10313934,Q49317782,intermittent lake
http://www.wikidata.org/entity/Q49317802,,,Point(81.093055555 26.9575),20.57,26.9575,81.093055555556,1,http://www.wikidata.org/entity/Q10313934,Q49317802,intermittent lake
http://www.wikidata.org/entity/Q49317990,,,Point(81.005277777 26.82),7.296,26.82,81.005277777778,1,http://www.wikidata.org/entity/Q10313934,Q49317990,intermittent lake
http://www.wikidata.org/entity/Q49318167,,,Point(81.086111111 26.948888888),19.429,26.948888888889,81.086111111111,1,http://www.wikidata.org/entity/Q10313934,Q49318167,intermittent lake
http://www.wikidata.org/entity/Q60742170,,https://en.wikipedia.org/wiki/Uttar_Pradesh_State_Election_Commission,Point(80.933821 26.836336),0.211,26.836336,80.933821,1,http://www.wikidata.org/entity/Q327333,Uttar Pradesh State Election Commission,government agency
http://www.wikidata.org/entity/Q63370868,,,Point(80.974031 26.763061),9.216,26.763061,80.974031,1,http://www.wikidata.org/entity/Q55488,Utraitia railway station,railway station
http://www.wikidata.org/entity/Q63370914,,,Point(81.155895044 26.744797359),24.291,26.7447973595,81.1558950446,1,http://www.wikidata.org/entity/Q55488,Rahmat Nagar railway station,railway station
http://www.wikidata.org/entity/Q63370913,,,Point(81.126093 26.757292),21.022,26.757292,81.126093,1,http://www.wikidata.org/entity/Q55488,Anupganj railway station,railway station
http://www.wikidata.org/entity/Q66717976,,,Point(81.024769444 26.770969444),11.653,26.770969444444,81.024769444444,1,http://www.wikidata.org/entity/Q55488,Bakkas railway station,railway station
http://www.wikidata.org/entity/Q97124371,,,Point(80.930846674 26.857927244),2.236,26.857927244065,80.930846674245,1,http://www.wikidata.org/entity/Q4858146,Lal Baradari,Baradari
http://www.wikidata.org/entity/Q97124369,,,Point(80.90444 26.81252),4.129,26.81252,80.90444,1,http://www.wikidata.org/entity/Q16560,Alambagh Palace,palace
http://www.wikidata.org/entity/Q97124379,,,Point(80.929744096 26.85240508),1.662,26.852405080148,80.929744096285,1,http://www.wikidata.org/entity/Q3947,Kothi Roshan-ud-Daulah,house
http://www.wikidata.org/entity/Q97705528,,,Point(80.93982153 26.849188873),1.337,26.849188873039,80.939821530625,1,http://www.wikidata.org/entity/Q162875,Amjad Ali Shah's Mausoleum,mausoleum
http://www.wikidata.org/entity/Q97705532,,,Point(80.90525556 26.81358056),3.989,26.81358056,80.90525556,1,http://www.wikidata.org/entity/Q39614,Cemetery at Alambagh,cemetery
http://www.wikidata.org/entity/Q97705533,,,Point(80.96505278 26.82838333),3.209,26.82838333,80.96505278,1,http://www.wikidata.org/entity/Q39614,Cemetery at Dilkusha,cemetery
http://www.wikidata.org/entity/Q97705539,,,Point(80.971123698 26.829455341),3.749,26.829455341449,80.971123698346,1,http://www.wikidata.org/entity/Q39614,Cemetery at Vilayat Bagh,cemetery
http://www.wikidata.org/entity/Q97705536,,,Point(80.91003611 26.87149444),4.441,26.87149444,80.91003611,1,http://www.wikidata.org/entity/Q39614,Cemetery near Fort Machi Bhawan,cemetery
http://www.wikidata.org/entity/Q97705541,,,Point(80.893481107 26.85510684),4.496,26.85510684041,80.893481107807,1,http://www.wikidata.org/entity/Q24398318,Dianut-ud-daula's Karbala,religious building
http://www.wikidata.org/entity/Q97705550,,,Point(80.895956779 26.855220678),4.28,26.855220678914,80.895956779052,1,http://www.wikidata.org/entity/Q697295,Kaz-Main Buildings,shrine
http://www.wikidata.org/entity/Q97705554,,,Point(80.926111111 26.875277777),4.219,26.875277777778,80.926111111111,1,http://www.wikidata.org/entity/Q697295,Nasir-ud-din Haider's Karbala in Daliganj,shrine
http://www.wikidata.org/entity/Q97705557,,,Point(80.907565116 26.875002952),4.902,26.875002952639,80.907565116361,1,http://www.wikidata.org/entity/Q61533563,Hussainabad Baradari,Pavallion
http://www.wikidata.org/entity/Q97705564,,,Point(80.92386646 26.853238876),1.992,26.853238876435,80.923866460925,1,http://www.wikidata.org/entity/Q381885,Tomb of Janab Aliya,tomb
http://www.wikidata.org/entity/Q97705572,,,Point(80.934674893 26.854145621),1.784,26.85414562117,80.934674893531,1,http://www.wikidata.org/entity/Q381885,"Tomb of Mushir Zadi, wife of Saadat Ali Khan",tomb
http://www.wikidata.org/entity/Q97705579,,,Point(80.949228859 26.90282885),7.342,26.90282885054,80.949228859566,1,http://www.wikidata.org/entity/Q39614,Cemetery,cemetery
http://www.wikidata.org/entity/Q97705585,,,Point(80.774345705 26.883354569),16.674,26.883354569148,80.774345705814,1,http://www.wikidata.org/entity/Q12280,Bridge over the Beta river and temple attached to it,bridge
http://www.wikidata.org/entity/Q97705585,,,Point(80.774345705 26.883354569),16.674,26.883354569148,80.774345705814,1,http://www.wikidata.org/entity/Q44539,Bridge over the Beta river and temple attached to it,temple
http://www.wikidata.org/entity/Q106153800,,https://en.wikipedia.org/wiki/Mohanlalganj,Point(80.98237 26.67985),18.224,26.67985,80.98237,1,http://www.wikidata.org/entity/Q56061,Mohanlalganj,administrative territorial entity
http://www.wikidata.org/entity/Q106200301,,https://en.wikipedia.org/wiki/Digoi,Point(80.9196 27.02067),20.354,27.02067,80.9196,1,http://www.wikidata.org/entity/Q56061,Digoi,administrative territorial entity
http://www.wikidata.org/entity/Q106200317,,"https://en.wikipedia.org/wiki/Indara,_Lucknow",Point(80.99114 27.09781),29.416,27.09781,80.99114,1,http://www.wikidata.org/entity/Q56061,"Indara, Lucknow",administrative territorial entity
