item,itemLabel,lat,lon,location,distance,sitelinks,thingLabel,thing,articleEN,articleDE
http://www.wikidata.org/entity/Q4678491,"Adakamaranahalli, Bangalore Rural",12.9466,77.3097,Point(77.3097 12.9466),26.645,3,village in India,http://www.wikidata.org/entity/Q56436498,"https://en.wikipedia.org/wiki/Adakamaranahalli,_Bangalore_Rural",
http://www.wikidata.org/entity/Q5070974,Chandapura,12.800088888889,77.711819444444,Point(77.711819444 12.800088888),26.675,5,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Chandapura,
http://www.wikidata.org/entity/Q13479946,Neralur,12.80009,77.71182,Point(77.71182 12.80009),26.675,3,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Neralur,
http://www.wikidata.org/entity/Q49703409,Q49703409,13.221111111111,77.583888888889,Point(77.583888888 13.221111111),26.675,1,intermittent reservoir,http://www.wikidata.org/entity/Q55470036,,
http://www.wikidata.org/entity/Q25549394,Bidadi railway station,12.8004252,77.3902984,Point(77.3902984 12.8004252),26.882,1,railway station,http://www.wikidata.org/entity/Q55488,,
http://www.wikidata.org/entity/Q24949289,Manchanabele,12.86702,77.33445,Point(77.33445 12.86702),26.949,2,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Manchanabele,
http://www.wikidata.org/entity/Q4985092,Budigere,13.13333333,77.75,Point(77.75 13.13333333),27.12,4,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Budigere,
http://www.wikidata.org/entity/Q17150184,ADARSHA Institute of Technology,13.14472222,77.36388889,Point(77.36388889 13.14472222),27.225,1,engineering school,http://www.wikidata.org/entity/Q1663017,https://en.wikipedia.org/wiki/Adarsha_Institute_of_Technology,
http://www.wikidata.org/entity/Q4663698,"Abbanakuppe, Bangalore Rural",12.773,77.42,Point(77.42 12.773),27.439,5,village in India,http://www.wikidata.org/entity/Q56436498,"https://en.wikipedia.org/wiki/Abbanakuppe,_Bangalore_Rural",
http://www.wikidata.org/entity/Q49703394,Q49703394,13.216944444444,77.634722222222,Point(77.634722222 13.216944444),27.472,1,intermittent reservoir,http://www.wikidata.org/entity/Q55470036,,
http://www.wikidata.org/entity/Q49703273,Q49703273,13.231111111111,77.568611111111,Point(77.568611111 13.231111111),27.626,1,intermittent reservoir,http://www.wikidata.org/entity/Q55470036,,
http://www.wikidata.org/entity/Q34878838,Budigere Kere,13.144166666667,77.748888888889,Point(77.748888888 13.144166666),27.785,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q34883764,Doddatumkūr Kere,13.231944444444,77.527777777778,Point(77.527777777 13.231944444),27.797,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q124613724,Airport City metro station,13.19833,77.68717,Point(77.68717 13.19833),28.01,1,metro station,http://www.wikidata.org/entity/Q928830,https://en.wikipedia.org/wiki/Airport_City_metro_station,
http://www.wikidata.org/entity/Q34909636,Mādhari Kere,13.2125,77.445,Point(77.445 13.2125),28.045,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q22080610,Rai Technology University,13.225102777778,77.473205555556,Point(77.473205555 13.225102777),28.25,1,academic institution,http://www.wikidata.org/entity/Q4671277,https://en.wikipedia.org/wiki/Rai_Technology_University,
http://www.wikidata.org/entity/Q1708186,Hoskote,13.07,77.8,Point(77.8 13.07),28.475,20,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Hoskote,
http://www.wikidata.org/entity/Q34895627,Kodihalli Kere,13.013888888889,77.814444444444,Point(77.814444444 13.013888888),28.56,1,reservoir,http://www.wikidata.org/entity/Q131681,,
