,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
229,http://www.wikidata.org/entity/Q26816060,,,Point(81.121944444 27.029444444),28.241,27.029444444444,81.121944444444,1,http://www.wikidata.org/entity/Q30198,Q26816060,marsh,D,blue
230,http://www.wikidata.org/entity/Q26816064,,,Point(81.153055555 27.004444444),28.481,27.004444444444,81.153055555556,1,http://www.wikidata.org/entity/Q30198,Q26816064,marsh,D,blue
231,http://www.wikidata.org/entity/Q26816065,,,Point(81.101388888 27.051111111),28.884,27.051111111111,81.101388888889,1,http://www.wikidata.org/entity/Q30198,Q26816065,marsh,D,blue
232,http://www.wikidata.org/entity/Q28154289,,https://en.wikipedia.org/wiki/Era_University,Point(80.872679 26.878235),7.592,26.878235,80.872679,1,http://www.wikidata.org/entity/Q3918,Era University,university,D,blue
236,http://www.wikidata.org/entity/Q106725920,,https://en.wikipedia.org/wiki/Khasarwara,Point(80.830946 26.666866),21.643,26.666866,80.830946,1,http://www.wikidata.org/entity/Q56061,Khasarwara,administrative territorial entity,D,blue
237,http://www.wikidata.org/entity/Q106725927,,"https://en.wikipedia.org/wiki/Chandrawal,_Lucknow",Point(80.879999 26.712726),14.957,26.712726,80.879999,1,http://www.wikidata.org/entity/Q56061,"Chandrawal, Lucknow",administrative territorial entity,D,blue
238,http://www.wikidata.org/entity/Q106725924,,"https://en.wikipedia.org/wiki/Beli,_Lucknow",Point(81.074715 26.753738),16.774,26.753738,81.074715,1,http://www.wikidata.org/entity/Q56061,"Beli, Lucknow",administrative territorial entity,D,blue
239,http://www.wikidata.org/entity/Q106726576,,"https://en.wikipedia.org/wiki/Bijnaur,_Lucknow",Point(80.904183 26.74042),11.273,26.74042,80.904183,1,http://www.wikidata.org/entity/Q56061,"Bijnaur, Lucknow",administrative territorial entity,D,blue
240,http://www.wikidata.org/entity/Q106770246,,https://en.wikipedia.org/wiki/Dadupur,Point(80.817116 26.689262),20.246,26.689262,80.817116,1,http://www.wikidata.org/entity/Q56061,Dadupur,administrative territorial entity,D,blue
241,http://www.wikidata.org/entity/Q106770248,,https://en.wikipedia.org/wiki/Ramchaura,Point(80.816521 26.705651),18.822,26.705651,80.816521,1,http://www.wikidata.org/entity/Q56061,Ramchaura,administrative territorial entity,D,blue
242,http://www.wikidata.org/entity/Q106770425,,https://en.wikipedia.org/wiki/Piparsand,Point(80.808945 26.746168),16.125,26.746168,80.808945,1,http://www.wikidata.org/entity/Q56061,Piparsand,administrative territorial entity,D,blue
243,http://www.wikidata.org/entity/Q107586799,,,Point(80.9 26.8),5.453,26.8,80.9,1,http://www.wikidata.org/entity/Q57178953,Lucknow Cantonment,cantonment town,D,blue
245,http://www.wikidata.org/entity/Q111952355,,https://en.wikipedia.org/wiki/History_of_the_Uttar_Pradesh_Legislative_Assembly,Point(80.944166666 26.843611111),1.13,26.843611111111,80.944166666667,1,http://www.wikidata.org/entity/Q17524420,History of the Uttar Pradesh Legislative Assembly,aspect of history,D,blue
247,http://www.wikidata.org/entity/Q117848808,,,Point(80.903347 26.815715),3.976,26.815715,80.903347,1,http://www.wikidata.org/entity/Q32815,"Shahi Masjid, Alambagh",mosque,D,blue
248,http://www.wikidata.org/entity/Q117849055,,,Point(80.902914876 26.813909839),4.137,26.813909839535,80.902914876615,1,http://www.wikidata.org/entity/Q53060,Alambagh Palace Gate,gate,D,blue
249,http://www.wikidata.org/entity/Q124662325,,,Point(80.916093 26.8725785),4.251,26.8725785,80.916093,1,http://www.wikidata.org/entity/Q537127,Hardinge Bridge,road bridge,D,blue
252,http://www.wikidata.org/entity/Q32444794,,,Point(80.988055555 26.587777777),28.335,26.587777777778,80.988055555556,1,http://www.wikidata.org/entity/Q4022,Bank Nadi,river,D,blue
253,http://www.wikidata.org/entity/Q32449511,,,Point(80.889444444 26.598611111),27.004,26.598611111111,80.889444444444,1,http://www.wikidata.org/entity/Q4022,Barer Nadi,river,D,blue
254,http://www.wikidata.org/entity/Q48733847,,https://en.wikipedia.org/wiki/Department_of_Housing_and_Urban_Planning,Point(80.944446 26.8404943),1.012,26.8404943,80.944446,1,http://www.wikidata.org/entity/Q327333,Department of Housing and Urban Planning,government agency,D,blue
255,http://www.wikidata.org/entity/Q48734328,,https://en.wikipedia.org/wiki/Department_of_Infrastructure_and_Industrial_Development,Point(80.943685 26.838992),0.907,26.838992,80.943685,1,http://www.wikidata.org/entity/Q327333,Department of Infrastructure and Industrial Development,government agency,D,blue
256,http://www.wikidata.org/entity/Q49317204,,,Point(81.061388888 26.775833333),14.362,26.775833333333,81.061388888889,1,http://www.wikidata.org/entity/Q10313934,Q49317204,intermittent lake,D,blue
257,http://www.wikidata.org/entity/Q49317439,,,Point(81.118055555 26.888333333),19.035,26.888333333333,81.118055555556,1,http://www.wikidata.org/entity/Q10313934,Q49317439,intermittent lake,D,blue
258,http://www.wikidata.org/entity/Q49317782,,,Point(80.997777777 26.990833333),18.101,26.990833333333,80.997777777778,1,http://www.wikidata.org/entity/Q10313934,Q49317782,intermittent lake,D,blue
259,http://www.wikidata.org/entity/Q49317802,,,Point(81.093055555 26.9575),20.57,26.9575,81.093055555556,1,http://www.wikidata.org/entity/Q10313934,Q49317802,intermittent lake,D,blue
260,http://www.wikidata.org/entity/Q49317990,,,Point(81.005277777 26.82),7.296,26.82,81.005277777778,1,http://www.wikidata.org/entity/Q10313934,Q49317990,intermittent lake,D,blue
261,http://www.wikidata.org/entity/Q49318167,,,Point(81.086111111 26.948888888),19.429,26.948888888889,81.086111111111,1,http://www.wikidata.org/entity/Q10313934,Q49318167,intermittent lake,D,blue
262,http://www.wikidata.org/entity/Q60742170,,https://en.wikipedia.org/wiki/Uttar_Pradesh_State_Election_Commission,Point(80.933821 26.836336),0.211,26.836336,80.933821,1,http://www.wikidata.org/entity/Q327333,Uttar Pradesh State Election Commission,government agency,D,blue
267,http://www.wikidata.org/entity/Q97124371,,,Point(80.930846674 26.857927244),2.236,26.857927244065,80.930846674245,1,http://www.wikidata.org/entity/Q4858146,Lal Baradari,Baradari,D,blue
268,http://www.wikidata.org/entity/Q97124369,,,Point(80.90444 26.81252),4.129,26.81252,80.90444,1,http://www.wikidata.org/entity/Q16560,Alambagh Palace,palace,D,blue
269,http://www.wikidata.org/entity/Q97124379,,,Point(80.929744096 26.85240508),1.662,26.852405080148,80.929744096285,1,http://www.wikidata.org/entity/Q3947,Kothi Roshan-ud-Daulah,house,D,blue
270,http://www.wikidata.org/entity/Q97705528,,,Point(80.93982153 26.849188873),1.337,26.849188873039,80.939821530625,1,http://www.wikidata.org/entity/Q162875,Amjad Ali Shah's Mausoleum,mausoleum,D,blue
271,http://www.wikidata.org/entity/Q97705532,,,Point(80.90525556 26.81358056),3.989,26.81358056,80.90525556,1,http://www.wikidata.org/entity/Q39614,Cemetery at Alambagh,cemetery,D,blue
272,http://www.wikidata.org/entity/Q97705533,,,Point(80.96505278 26.82838333),3.209,26.82838333,80.96505278,1,http://www.wikidata.org/entity/Q39614,Cemetery at Dilkusha,cemetery,D,blue
273,http://www.wikidata.org/entity/Q97705539,,,Point(80.971123698 26.829455341),3.749,26.829455341449,80.971123698346,1,http://www.wikidata.org/entity/Q39614,Cemetery at Vilayat Bagh,cemetery,D,blue
274,http://www.wikidata.org/entity/Q97705536,,,Point(80.91003611 26.87149444),4.441,26.87149444,80.91003611,1,http://www.wikidata.org/entity/Q39614,Cemetery near Fort Machi Bhawan,cemetery,D,blue
