,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,thing,articleEN,to_drop_key
3306,,50.772348888889,7.2494869444444,Ehemalige Kiesgrube - Geistinger Sand,,D,blue,,,protected area,,Point(7.249486944 50.772348888),11.228,http://www.wikidata.org/entity/Q61439770,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.772348888889', '7.2494869444444')"
3308,,50.755573055556,7.26563,Wolfsbach und Zufluesse / Freckenhohn,,D,blue,,,protected area,,Point(7.26563 50.755573055),11.812,http://www.wikidata.org/entity/Q61439771,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.755573055556', '7.26563')"
3310,,50.742378055556,7.2419388888889,Pleisbach,,D,blue,,,protected area,,Point(7.241938888 50.742378055),9.968,http://www.wikidata.org/entity/Q61439769,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.742378055556', '7.2419388888889')"
3312,,50.740538888889,7.2548180555556,Rotter Hardt und Mohrsberg,,D,blue,,,protected area,,Point(7.254818055 50.740538888),10.86,http://www.wikidata.org/entity/Q61439772,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.740538888889', '7.2548180555556')"
3314,,50.738011111111,7.268965,Roster Bach und Blankenbach,,D,blue,,,protected area,,Point(7.268965 50.738011111),11.846,http://www.wikidata.org/entity/Q61439773,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.738011111111', '7.268965')"
3316,,50.767373055556,7.2846230555556,Ehemalige Tongrube Edgoven,,D,blue,,,protected area,,Point(7.284623055 50.767373055),13.408,http://www.wikidata.org/entity/Q61439776,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.767373055556', '7.2846230555556')"
3318,,50.735248888889,7.3076319444444,Ehemalige Grube Silistria,,D,blue,,,protected area,,Point(7.307631944 50.735248888),14.565,http://www.wikidata.org/entity/Q61439780,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.735248888889', '7.3076319444444')"
3320,,50.740478,7.103051,Beethon,,D,blue,,,sculpture,,Point(7.103051 50.740478),0.541,http://www.wikidata.org/entity/Q61446163,1.0,,,http://www.wikidata.org/entity/Q860861,,"('50.740478', '7.103051')"
3321,,50.653218888889,6.9965111111111,Kiesgrube nordwestlich Lüftelberg,,D,blue,,,protected area,,Point(6.996511111 50.653218888),11.757,http://www.wikidata.org/entity/Q61452630,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.653218888889', '6.9965111111111')"
3323,,50.707671944444,6.9164930555556,Wald an der Burg Heimerzheim,,D,blue,,,protected area,,Point(6.916493055 50.707671944),13.337,http://www.wikidata.org/entity/Q61452657,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.707671944444', '6.9164930555556')"
3325,,50.694165,6.9415930555556,Alte Teichanlagen und Laubwald am Gut Capellen,,D,blue,,,protected area,,Point(6.941593055 50.694165),12.12,http://www.wikidata.org/entity/Q61452667,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.694165', '6.9415930555556')"
3327,,50.746353888889,6.9978311111111,Kiesgrube am Blutpfad,,D,blue,,,protected area,,Point(6.997831111 50.746353888),7.329,http://www.wikidata.org/entity/Q61452679,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.746353888889', '6.9978311111111')"
3329,,50.755946111111,6.995045,Maibroich,,D,blue,,,protected area,,Point(6.995045 50.755946111),7.759,http://www.wikidata.org/entity/Q61452677,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.755946111111', '6.995045')"
3331,,50.77221,7.02763,Herseler See,,D,blue,,,protected area,,Point(7.02763 50.77221),6.537,http://www.wikidata.org/entity/Q61452681,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.77221', '7.02763')"
3333,,50.719628888889,7.2941961111111,Eisbachtal mit Nebensiefen,,D,blue,,,protected area,,Point(7.294196111 50.719628888),13.741,http://www.wikidata.org/entity/Q61452686,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.719628888889', '7.2941961111111')"
3335,,50.783683055556,6.9032961111111,Keltischer Ringwall und Kerbtal,,D,blue,,,protected area,,Point(6.903296111 50.783683055),14.866,http://www.wikidata.org/entity/Q61452698,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.783683055556', '6.9032961111111')"
3337,,50.785666944444,6.9117919444444,Auf dem Schneeberge,,D,blue,,,protected area,,Point(6.911791944 50.785666944),14.392,http://www.wikidata.org/entity/Q61452703,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.785666944444', '6.9117919444444')"
3339,,50.749248888889,6.89792,Urschmaar,,D,blue,,,protected area,,Point(6.89792 50.749248888),14.343,http://www.wikidata.org/entity/Q61452701,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.749248888889', '6.89792')"
3341,,50.765101111111,6.9267919444444,Klinkenbergsweg,,D,blue,,,protected area,,Point(6.926791944 50.765101111),12.657,http://www.wikidata.org/entity/Q61452707,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.765101111111', '6.9267919444444')"
3343,,50.7798,6.9091519444444,Trippelsdorfer Bachtälchen,,D,blue,,,protected area,,Point(6.909151944 50.7798),14.329,http://www.wikidata.org/entity/Q61452705,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.7798', '6.9091519444444')"
3345,,50.759256111111,6.9403919444444,Waldorfer Schulwald,,D,blue,,,protected area,,Point(6.940391944 50.759256111),11.572,http://www.wikidata.org/entity/Q61452714,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.759256111111', '6.9403919444444')"
3347,,50.79699,6.9697969444444,Rheinmittelterrassenkante,,D,blue,,,protected area,,Point(6.969796944 50.79699),11.442,http://www.wikidata.org/entity/Q61452718,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.79699', '6.9697969444444')"
3349,,50.755503888889,6.984625,Kreuzbroich,,D,blue,,,protected area,,Point(6.984625 50.755503888),8.451,http://www.wikidata.org/entity/Q61452720,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.755503888889', '6.984625')"
3351,,50.823151944444,7.2088119444444,Feuchtgebiet im Widdauer Wald,,D,blue,,,protected area,,Point(7.208811944 50.823151944),12.331,http://www.wikidata.org/entity/Q61452727,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.823151944444', '7.2088119444444')"
3353,,50.804368888889,7.2412880555556,Feuchtgebiet im Hufwald,,D,blue,,,protected area,,Point(7.241288055 50.804368888),12.483,http://www.wikidata.org/entity/Q61452724,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.804368888889', '7.2412880555556')"
3355,,50.825005,7.2242680555556,Gierssiefen,,D,blue,,,protected area,,Point(7.224268055 50.825005),13.183,http://www.wikidata.org/entity/Q61452725,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.825005', '7.2242680555556')"
3357,,50.730859,7.185302,Brunnen Antoniusplatz (Holtorf),,D,blue,,,fountain,,Point(7.185302 50.730859),5.983,http://www.wikidata.org/entity/Q61672410,1.0,,,http://www.wikidata.org/entity/Q483453,,"('50.730859', '7.185302')"
3358,,50.729431,7.137695,Brunnen Am Brünnchen (Limperich),,D,blue,,,fountain,,Point(7.137695 50.729431),2.702,http://www.wikidata.org/entity/Q61672587,1.0,,,http://www.wikidata.org/entity/Q483453,,"('50.729431', '7.137695')"
3359,,50.724152,7.186447,Quelle Oberholtorf (Holtorf),,D,blue,,,spring,,Point(7.186447 50.724152),6.176,http://www.wikidata.org/entity/Q61673070,1.0,,,http://www.wikidata.org/entity/Q124714,,"('50.724152', '7.186447')"
3361,,50.68032,7.196642,Am Lessing 1,,D,blue,,,villa,,Point(7.196642 50.68032),9.154,http://www.wikidata.org/entity/Q61676552,1.0,,,http://www.wikidata.org/entity/Q3950,,"('50.68032', '7.196642')"
3362,,50.737766666667,7.1050472222222,Beethovenhalle,,D,blue,,,concert hall,,Point(7.105047222 50.737766666),0.375,http://www.wikidata.org/entity/Q61702877,1.0,,,http://www.wikidata.org/entity/Q1060829,,"('50.737766666667', '7.1050472222222')"
3364,,50.68004,7.15202,Redoutenpark,,D,blue,,,urban park,,Point(7.15202 50.68004),7.182,http://www.wikidata.org/entity/Q61731081,1.0,,,http://www.wikidata.org/entity/Q22746,,"('50.68004', '7.15202')"
3365,,50.765321,6.912748,Wasserturm Rösberg,,D,blue,,,water tower,,Point(6.912748 50.765321),13.62,http://www.wikidata.org/entity/Q61731543,1.0,,,http://www.wikidata.org/entity/Q274153,,"('50.765321', '6.912748')"
3366,,50.728721,7.148273,Am Brünnchen (Küdinghoven),,D,blue,,,fountain,,Point(7.148273 50.728721),3.443,http://www.wikidata.org/entity/Q61743455,1.0,,,http://www.wikidata.org/entity/Q483453,,"('50.728721', '7.148273')"
3367,,50.725833,7.154092,Schürreskarrenbrunnen (Ramersdorf),,D,blue,,,fountain,,Point(7.154092 50.725833),3.922,http://www.wikidata.org/entity/Q61746351,1.0,,,http://www.wikidata.org/entity/Q483453,,"('50.725833', '7.154092')"
3368,,50.727608,7.14709,Friedensdenkmal Küdinghoven,,D,blue,,,monument,,Point(7.14709 50.727608),3.394,http://www.wikidata.org/entity/Q61747243,1.0,,,http://www.wikidata.org/entity/Q4989906,,"('50.727608', '7.14709')"
3369,,50.666238888889,7.1634,Steinbruch Lyngsberg,,D,blue,,,protected area,,Point(7.1634 50.666238888),8.912,http://www.wikidata.org/entity/Q62091776,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.666238888889', '7.1634')"
3371,,50.805075,6.9407619444444,LSG-Dickopsbach,,D,blue,,,protected area,,Point(6.940761944 50.805075),13.626,http://www.wikidata.org/entity/Q62095750,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.805075', '6.9407619444444')"
3373,,50.820996111111,7.007015,LSG-Urfelder Weiden und Rhein,,D,blue,,,protected area,,Point(7.007015 50.820996111),11.532,http://www.wikidata.org/entity/Q62095751,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.820996111111', '7.007015')"
3375,,50.821028055556,6.9570730555556,LSG-Entenfang,,D,blue,,,protected area,,Point(6.957073055 50.821028055),13.842,http://www.wikidata.org/entity/Q62095748,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.821028055556', '6.9570730555556')"
3377,,50.802643055556,6.9675088888889,LSG-Mittelterrassenkante Keldenich,,D,blue,,,protected area,,Point(6.967508888 50.802643055),11.951,http://www.wikidata.org/entity/Q62095753,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.802643055556', '6.9675088888889')"
