,item,articleDE,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,articleEN,tier,color
82,http://www.wikidata.org/entity/Q884122,https://de.wikipedia.org/wiki/Langer_Eugen,Point(7.12755 50.7183),2.719,50.7183,7.12755,11,http://www.wikidata.org/entity/Q1021645,Langer Eugen,office building,https://en.wikipedia.org/wiki/Langer_Eugen,A,green
83,http://www.wikidata.org/entity/Q55423,https://de.wikipedia.org/wiki/Bonn_Hauptbahnhof,Point(7.096944444 50.731944444),0.507,50.731944444444,7.0969444444444,11,http://www.wikidata.org/entity/Q1793804,Bonn Hauptbahnhof,S-Bahn station,https://en.wikipedia.org/wiki/Bonn_Hauptbahnhof,A,green
88,http://www.wikidata.org/entity/Q152933,https://de.wikipedia.org/wiki/Petersberg_(Siebengebirge),Point(7.2075 50.686111),9.337,50.686111,7.2075,11,http://www.wikidata.org/entity/Q8502,Petersberg,mountain,https://en.wikipedia.org/wiki/Petersberg_(Siebengebirge),A,green
89,http://www.wikidata.org/entity/Q510343,https://de.wikipedia.org/wiki/Museum_Koenig,Point(7.113381 50.7221615),1.766,50.7221615,7.113381,11,http://www.wikidata.org/entity/Q3152824,Museum Koenig,cultural institution,https://en.wikipedia.org/wiki/Museum_Koenig_Bonn,A,green
91,http://www.wikidata.org/entity/Q580400,https://de.wikipedia.org/wiki/European_Forest_Institute,Point(7.142667 50.70675),4.383,41.344861,2.104244,11,http://www.wikidata.org/entity/Q163740,European Forest Institute,nonprofit organization,https://en.wikipedia.org/wiki/European_Forest_Institute,A,green
95,http://www.wikidata.org/entity/Q315021,https://de.wikipedia.org/wiki/Haus_der_Geschichte,Point(7.11861 50.7172),2.428,50.7172,7.11861,11,http://www.wikidata.org/entity/Q16735822,Haus der Geschichte,history museum,https://en.wikipedia.org/wiki/Haus_der_Geschichte,A,green
96,http://www.wikidata.org/entity/Q322935,https://de.wikipedia.org/wiki/St._Maria_und_Clemens_(Schwarzrheindorf),Point(7.114978 50.750669),1.931,50.750669,7.114978,11,http://www.wikidata.org/entity/Q16970,St Maria and Clemens Church,church building,https://en.wikipedia.org/wiki/Doppelkirche_Schwarzrheindorf,A,green
97,http://www.wikidata.org/entity/Q557258,https://de.wikipedia.org/wiki/Belagerung_von_Bonn_(1673),Point(7.099722222 50.733888888),0.228,50.733888888889,7.0997222222222,10,http://www.wikidata.org/entity/Q188055,Siege of Bonn in 1673,siege,https://en.wikipedia.org/wiki/Siege_of_Bonn_(1673),A,green
99,http://www.wikidata.org/entity/Q153751,https://de.wikipedia.org/wiki/Poppelsdorf,Point(7.090555555 50.722222222),1.674,50.722222222222,7.0905555555556,10,http://www.wikidata.org/entity/Q253019,Poppelsdorf,Ortsteil,https://en.wikipedia.org/wiki/Poppelsdorf,A,green
100,http://www.wikidata.org/entity/Q178317,https://de.wikipedia.org/wiki/Oberkassel_(Bonn),Point(7.166666666 50.713888888),5.249,50.713888888889,7.1666666666667,9,http://www.wikidata.org/entity/Q253019,Oberkassel,Ortsteil,"https://en.wikipedia.org/wiki/Oberkassel,_Bonn",B,violet
101,http://www.wikidata.org/entity/Q248483,https://de.wikipedia.org/wiki/Oberdollendorf,Point(7.181944444 50.702222222),6.836,50.702222222222,7.1819444444444,9,http://www.wikidata.org/entity/Q253019,Oberdollendorf,Ortsteil,https://en.wikipedia.org/wiki/Oberdollendorf,B,violet
102,http://www.wikidata.org/entity/Q254130,https://de.wikipedia.org/wiki/%C3%84gyptisches_Museum_Bonn,Point(7.10567 50.7346),0.379,50.7346,7.10567,9,http://www.wikidata.org/entity/Q3330834,Bonn Egyptian Museum,egyptological museum,https://en.wikipedia.org/wiki/Bonn_Egyptian_Museum,B,violet
103,http://www.wikidata.org/entity/Q318614,https://de.wikipedia.org/wiki/LVR-Landesmuseum_Bonn,Point(7.0925 50.7319),0.723,50.7319,7.0925,9,http://www.wikidata.org/entity/Q33506,Rheinisches Landesmuseum Bonn,museum,https://en.wikipedia.org/wiki/Rheinisches_Landesmuseum_Bonn,B,violet
104,http://www.wikidata.org/entity/Q1451822,https://de.wikipedia.org/wiki/Frauenmuseum_Bonn,Point(7.09246 50.7407),0.79,50.7407,7.09246,8,http://www.wikidata.org/entity/Q26945002,Bonn Women's Museum,women's museum,https://en.wikipedia.org/wiki/Bonn_Women%27s_Museum,B,violet
105,http://www.wikidata.org/entity/Q814123,https://de.wikipedia.org/wiki/Beethoven-Denkmal_(Bonner_M%C3%BCnsterplatz),Point(7.09913 50.7345),0.185,50.7345,7.09913,8,http://www.wikidata.org/entity/Q179700,Beethoven Monument,statue,https://en.wikipedia.org/wiki/Beethoven_Monument,B,violet
106,http://www.wikidata.org/entity/Q880232,https://de.wikipedia.org/wiki/Pleisbach,Point(7.213208333 50.782361111),9.456,50.782361111111,7.2132083333333,8,http://www.wikidata.org/entity/Q4022,Pleisbach,river,https://en.wikipedia.org/wiki/Pleisbach,B,violet
108,http://www.wikidata.org/entity/Q1793056,https://de.wikipedia.org/wiki/Kurf%C3%BCrstliches_Schloss_(Bonn),Point(7.10269 50.7337),0.279,50.7337,7.10269,8,http://www.wikidata.org/entity/Q16823155,Electoral Palace,Schloss,"https://en.wikipedia.org/wiki/Electoral_Palace,_Bonn",B,violet
109,http://www.wikidata.org/entity/Q7510052,https://de.wikipedia.org/wiki/Belagerung_von_Godesberg,Point(7.15 50.683333333),6.795,50.683333333333,7.15,8,http://www.wikidata.org/entity/Q188055,Siege of Godesberg,siege,https://en.wikipedia.org/wiki/Siege_of_Godesberg,B,violet
111,http://www.wikidata.org/entity/Q318822,https://de.wikipedia.org/wiki/Alter_Friedhof_Bonn,Point(7.090694444 50.735691666),0.702,50.735691666667,7.0906944444444,8,http://www.wikidata.org/entity/Q39614,Alter Friedhof Bonn,cemetery,"https://en.wikipedia.org/wiki/Alter_Friedhof,_Bonn",B,violet
112,http://www.wikidata.org/entity/Q182993,https://de.wikipedia.org/wiki/UN-Campus,Point(7.12536 50.71874),2.577,50.71874,7.12536,7,http://www.wikidata.org/entity/Q13226383,UN Campus,facility,"https://en.wikipedia.org/wiki/UN_Campus,_Bonn",B,violet
113,http://www.wikidata.org/entity/Q632314,https://de.wikipedia.org/wiki/Nonnenwerth,Point(7.209444 50.639722),13.152,50.639722,7.209444,7,http://www.wikidata.org/entity/Q162602,Nonnenwerth,river island,https://en.wikipedia.org/wiki/Nonnenwerth,B,violet
114,http://www.wikidata.org/entity/Q698582,https://de.wikipedia.org/wiki/Arp_Museum_Bahnhof_Rolandseck,Point(7.20694 50.6314),13.818,50.6314,7.20694,7,http://www.wikidata.org/entity/Q207694,Arp Museum Bahnhof Rolandseck,art museum,,B,violet
115,http://www.wikidata.org/entity/Q884433,https://de.wikipedia.org/wiki/Poppelsdorfer_Schloss,Point(7.09209 50.725),1.349,50.725,7.09209,7,http://www.wikidata.org/entity/Q1436181,Poppelsdorf Palace,maison de plaisance,https://en.wikipedia.org/wiki/Poppelsdorf_Palace,B,violet
117,http://www.wikidata.org/entity/Q895670,https://de.wikipedia.org/wiki/Godesburg,Point(7.150736 50.685146),6.65,50.685146,7.150736,7,http://www.wikidata.org/entity/Q17715832,Godesburg,castle ruin,https://en.wikipedia.org/wiki/Godesburg,B,violet
118,http://www.wikidata.org/entity/Q896270,https://de.wikipedia.org/wiki/Institut_f%C3%BCr_Arbeitsschutz_der_Deutschen_Gesetzlichen_Unfallversicherung,Point(7.18013 50.76388),6.401,50.76388,7.18013,7,http://www.wikidata.org/entity/Q31855,Institute for Occupational Safety and Health of the German Social Accident Insurance,research institute,https://en.wikipedia.org/wiki/Institute_for_Occupational_Safety_and_Health_of_the_German_Social_Accident_Insurance,B,violet
