,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
128,,39.749166666667,-104.99611111111,One Tabor Center,,C,yellow,,,skyscraper,,Point(-104.996111111 39.749166666),1.464,http://www.wikidata.org/entity/Q3352653,4.0,,,https://en.wikipedia.org/wiki/One_Tabor_Center,http://www.wikidata.org/entity/Q11303,"('39.749166666667', '-104.99611111111')"
130,,39.7,-104.971,Washington Park,,C,yellow,,,historic district,,Point(-104.971 39.7),4.521,http://www.wikidata.org/entity/Q3566514,4.0,,,"https://en.wikipedia.org/wiki/Washington_Park,_Denver",http://www.wikidata.org/entity/Q15243209,"('39.7', '-104.971')"
132,,39.7429,-104.987,1670 Broadway,,C,yellow,,,skyscraper,,Point(-104.987 39.7429),0.446,http://www.wikidata.org/entity/Q4551716,4.0,,,https://en.wikipedia.org/wiki/1670_Broadway,http://www.wikidata.org/entity/Q11303,"('39.7429', '-104.987')"
133,,39.7478,-104.988,1999 Broadway,,C,yellow,,,skyscraper,,Point(-104.988 39.7478),0.989,http://www.wikidata.org/entity/Q4594548,4.0,,,https://en.wikipedia.org/wiki/1999_Broadway,http://www.wikidata.org/entity/Q11303,"('39.7478', '-104.988')"
134,,39.76,-105.003333,19th Street Bridge,,C,yellow,,,truss bridge,,Point(-105.003333 39.76),2.797,http://www.wikidata.org/entity/Q4595824,4.0,,,https://en.wikipedia.org/wiki/19th_Street_Bridge,http://www.wikidata.org/entity/Q158218,"('39.76', '-105.003333')"
135,,39.826666666667,-104.92888888889,Adams City,,C,yellow,,,unincorporated community in the United States,,Point(-104.928888888 39.826666666),10.834,http://www.wikidata.org/entity/Q4680311,4.0,,,"https://en.wikipedia.org/wiki/Adams_City,_Colorado",http://www.wikidata.org/entity/Q17343829,"('39.826666666667', '-104.92888888889')"
137,,39.7333,-104.983,Capitol Hill,,C,yellow,,,gay village,,Point(-104.983 39.7333),0.679,http://www.wikidata.org/entity/Q5035880,4.0,,,"https://en.wikipedia.org/wiki/Capitol_Hill,_Denver",http://www.wikidata.org/entity/Q748198,"('39.7333', '-104.983')"
138,,39.74,-104.98,Denver Formation,,C,yellow,,,geological formation,,Point(-104.98 39.74),0.424,http://www.wikidata.org/entity/Q5259726,4.0,,,https://en.wikipedia.org/wiki/Denver_Formation,http://www.wikidata.org/entity/Q736917,"('39.74', '-104.98')"
139,,39.7375,-104.988056,Denver Public Library,,C,yellow,,,library network,,Point(-104.988056 39.7375),0.334,http://www.wikidata.org/entity/Q5259775,4.0,,,https://en.wikipedia.org/wiki/Denver_Public_Library,http://www.wikidata.org/entity/Q26271642,"('39.7375', '-104.988056')"
141,,39.8381,-104.912,Dupont,,C,yellow,,,unincorporated community in the United States,,Point(-104.912 39.8381),12.633,http://www.wikidata.org/entity/Q5316033,4.0,,,"https://en.wikipedia.org/wiki/Dupont,_Colorado",http://www.wikidata.org/entity/Q17343829,"('39.8381', '-104.912')"
142,,39.743611111111,-104.99361111111,Hyatt Regency Denver at Colorado Convention Center,,C,yellow,,,skyscraper,,Point(-104.993611111 39.743611111),0.892,http://www.wikidata.org/entity/Q5952883,4.0,,,https://en.wikipedia.org/wiki/Hyatt_Regency_Denver_at_the_Colorado_Convention_Center,http://www.wikidata.org/entity/Q11303,"('39.743611111111', '-104.99361111111')"
143,,39.62666667,-104.90166667,Nan Desu Kan,,C,yellow,,,recurring event,,Point(-104.90166667 39.62666667),14.4,http://www.wikidata.org/entity/Q6962193,4.0,,,https://en.wikipedia.org/wiki/Nan_Desu_Kan,http://www.wikidata.org/entity/Q15275719,"('39.62666667', '-104.90166667')"
