,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
2,,38.23166,27.02997,Izmir,"A scenic route towards Izmir is to head west then south into the Gallipoli peninsula, with its World War I sites, cross the Dardanelles to Çanakkale, then past ancient Troy (Turkey)|Troy and Bergama|Pergamon (Bergama). A short ferry-ride brings you to the charming island of Bozcaada. For more detailed descriptions, see Istanbul to Izmir.",wikivoyage,red,,,Go next_South,"(38.23166, 27.02997)",,,,,,,,,"(38.23166, 27.02997)"
1,,39.9895878,28.8944669,Bursa,"Bursa to the southeast is a former Ottoman capital with many historical sights plus Uludağ|Uludağ National Park just south. İznik, rich in Byzantine, Seljuk, and early Ottoman heritage, is worth a detour on the way.",wikivoyage,red,,,Go next_South,"(39.9895878, 28.8944669)",,,,,,,,,"(39.9895878, 28.8944669)"
0,,40.6216407,27.6294272,Marmara Islands,"The Marmara Islands are across the sea, much further away and less urban than the Princes Islands just offshore of the city.",wikivoyage,red,,,Go next_South,"(40.6216407, 27.6294272)",,,,,,,,,"(40.6216407, 27.6294272)"
2,,41.118499,16.8861634,Via Egnatia,Or perhaps you can follow the ancient Via Egnatia all the way to the Adriatic and across to Rome.,wikivoyage,red,,,Go next_West,"(41.118499, 16.8861634)",,,,,,,,,"(41.118499, 16.8861634)"
1,,42.6977028,23.3217359,Sofia,Head into Western Europe either via Sofia in Bulgaria or Bucharest in Romania.,wikivoyage,red,,,Go next_West,"(42.6977028, 23.3217359)",,,,,,,,,"(42.6977028, 23.3217359)"
0,,41.6759327,26.5587225,Edirne,"Edirne, two hours to the northwest, is a beautiful historic city, and was the Ottoman capital before power moved to Istanbul. You need at least a day here. A slow scenic route winds north via Kıyıköy, ancient Medea, a fisherman's village on the Black Sea with some traditional architecture, partially rebuilt ancient city walls and a nearby rock-cut monastery. The next town on that route is Vize, an old town with a well preserved Byzantine cathedral.",wikivoyage,red,,,Go next_West,"(41.6759327, 26.5587225)",,,,,,,,,"(41.6759327, 26.5587225)"
16,,0.0,0.0,United States ,,wikivoyage,red,"İstinye Mh, Kaplıcalar Mevkii 2, İstinye ",https://tr.usembassy.gov/embassy-consulates/istanbul/ ,Cope_Consulates,"(0, 0)",,,,,,,,,"(0.0, 0.0)"
12,,41.0286238,28.9755845,Sweden ,,wikivoyage,red,"İstiklal Cd 247, Beyoğlu ",http://swedenabroad.com/Start____9208.aspx ,Cope_Consulates,"(41.0286238, 28.9755845)",,,,,,,,,"(41.0286238, 28.9755845)"
10,,41.033865,28.9781765,Russia ,,wikivoyage,red,"İstiklal Cd 443, Beyoğlu ", ,Cope_Consulates,"(41.033865, 28.9781765)",,,,,,,,,"(41.033865, 28.9781765)"
4,,41.0360566,28.9872228,New Zealand ,,wikivoyage,red,"İnönü Cd 48/3, Taksim ",http://www.nzembassy.com/turkey ,Cope_Consulates,"(41.0360566, 28.9872228)",,,,,,,,,"(41.0360566, 28.9872228)"
