,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
2,Nuruosmaniye Mosque ,0.0,0.0,Vezirhan Cd 33 , ,See_Beyazıt,"Built 1748-55, this launched the style we call Ottoman Baroque, with its grand central dome and pencil-thin minarets. It was copied throughout their empire and is replicated in new mosques even today. The name means ""light of the Ottomans,"" and the interior uses light powdery decor, bathed with much more natural light than its gloomier classical predecessors. The complex also has a madrasa and the imaret (public soup kitchen). ","(0, 0)",wikivoyage,red
0,Valens Aqueduct ,41.0162933,28.9549684,,,See_Süleymaniye,,"(41.0162933, 28.9549684)",wikivoyage,red
0,Molla Zeyrek Mosque ,41.0197,28.9572,İbadethane Sk 2 , ,See_Süleymaniye,"This is a triple structure: the church of the Monastery of Pantokrator built 1118, then a public church circa 1136 plus a chapel that served as a royal mausoleum. It became a mosque and medresse in Ottoman times, but without massive alteration so it's a prime example of middle-Byzantine architecture. It's nowadays again a mosque, photogenic by day or dusk but the area should be avoided at night.","(41.0197, 28.9572)",wikivoyage,red
1,Kalenderhane Mosque ,0.0,0.0,16 Mart Şehitleri Cd 11 , ,See_Süleymaniye,"Built circa 1200 as the Eastern Orthodox Theotokos Kyriotissa Church, after the Ottoman conquest it was handed over to the Qalandari, a Sufi sect. In the mid-18th century it was converted to a Sunni mosque, and its mosaics were plastered over. The original appearance was restored in the 1970s. ","(0, 0)",wikivoyage,red
2,Süleymaniye Mosque ,41.0161,28.9639,Prof Sıddık Sami Onar Cd 1 ,http://www.suleymaniyecamii.org/ ,See_Süleymaniye,"On top of a hill overlooking the Golden Horn, this is a magnificent mosque built by Sinan in the 1550s. It was centrepiece of a large ''külliye'', a religious complex which included madrasas, a public kitchen and a hospital.. The small cemetery east has the mausoleums of Suleiman the Magnificent and of his wife Hurrem Sultan or Roxelana.","(41.0161, 28.9639)",wikivoyage,red
0,Column of Marcian ,41.0154411,28.9502846,,,See_Fatih,,"(41.0154411, 28.9502846)",wikivoyage,red
1,Fatih Mosque ,41.0197,28.9497,Hattat Nafiz Cd 6 , ,See_Fatih,"The original mosque was built between 1463-1470 by the Greek architect Atik Sinan, by order of Sultan Mehmet II the Conqueror, on the site of the former Church of the Holy Apostles, which had served as Byzantine Imperial burial place for a thousand years. The grand complex with eight medreses, a library, hospital, hospice, caravanserai, market, hamam, primary school and public soup kitchen was smashed again and again by earthquakes, and the present building is from 1771 to a different design. The interior is lavish, and outside is the ornate tomb of Mehmet II and his wife Gülbahar Hatun.","(41.0197, 28.9497)",wikivoyage,red
2,Hırka-i Şerif Mosque ,0.0,0.0,Akseki Cami Sk 1 , ,See_Fatih,"Completed in 1851, this houses a mantle said to have been worn by the prophet Muhammad. The mantle is displayed during Ramadan.","(0, 0)",wikivoyage,red
0,St George's Cathedral ,41.0292,28.9517,Dr Sadık Ahmet Cd 19 ,https://www.ec-patr.org/ ,See_Golden Horn,"This is modest from the outside, as the Ottomans would not permit non-Muslim religious buildings to rival the mosques. The interior is lavish but its chief importance is as the senior Eastern Orthodox church. Their Patriarchate has been housed here since 1586 when they were ejected from Agia Sophia. ","(41.0292, 28.9517)",wikivoyage,red
0,Phanar Greek Orthodox College ,41.0291107,28.9490685,,,See_Golden Horn,"This is the red-brick castle seen south of St George. Built 1881/83, it teaches the standard Turkish curriculum plus Greek language and culture, and the tower houses an observatory. No visits.","(41.0291107, 28.9490685)",wikivoyage,red
1,Fethiye Mosque ,41.0292,28.9464,Draman Cd , ,See_Golden Horn,"The Church of Theotokos Pammakaristos (""All-Blessed Mother of God"") was built between the 11th and 12th centuries. The ''parekklesion'' or side-chapel was added maybe 1300, with rich mosaics. The main building became a mosque in 1591, named for Sultan Murad III's conquest (''fetih'', hence Fethiye) of Georgia and Azerbaijan: the interior was opened up, but the chapel was undisturbed and in modern times became a museum. In 2020 the entire building was proclaimed a mosque, and every scrap of Byzantine artistry was covered up, so now there's nothing worth seeing.","(41.0292, 28.9464)",wikivoyage,red
0,St Stephen Church ,41.0319,28.9497,Mürselpaşa Cd , ,See_Golden Horn,"A remarkable Bulgarian Orthodox church better known as ''Demir Kilise'', ""Iron Church"", as it's a cast iron prefab. The Bulgarians split from the Greek Orthodox and established their own wooden church in 1870, which burned down. The ground was too weak for a masonry or concrete structure so they opted for cast iron. The sections were cast in Vienna, shipped here and assembled, to open in 1898. The church was renovated in 2018, but the archpatriarchate building across the street remains a gaunt shell. ","(41.0319, 28.9497)",wikivoyage,red
0,Ahrida Synagogue ,41.0328,28.9456,Kürkçü Çeşmesi Sk 7 , ,See_Golden Horn,"This was built in the 1430s by Grecian Jews (""Romaniotes"") from the city of [[Ohrid]], now in North Macedonia. The district of Balat was a Jewish quarter, swelled from 1492 by those expelled from Spain. The synagogue is only open for pre-arranged tours.","(41.0328, 28.9456)",wikivoyage,red
1,Palace of the Porphyrogenitus ,0.0,0.0,Şişhane Cd ,https://www.tekfursarayi.istanbul/en ,See_Golden Horn,The [[Byzantine Empire ,"(0, 0)",wikivoyage,red
