,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,ao_link,ao_description,address,url,description,fetched_coordinates
126,http://www.wikidata.org/entity/Q8053782,,https://en.wikipedia.org/wiki/Yio_Chu_Kang_Stadium,Point(103.846 1.38331),4.143,1.38331,103.846,4.0,http://www.wikidata.org/entity/Q483110,Yio Chu Kang Stadium,stadium,C,yellow,,,,,,
127,http://www.wikidata.org/entity/Q14233915,,,Point(103.8425 1.321666666),4.697,1.3216666666667,103.8425,4.0,http://www.wikidata.org/entity/Q149621,Balestier and Newton,district,C,yellow,,,,,,
129,http://www.wikidata.org/entity/Q1003270,https://de.wikipedia.org/wiki/Bukit_Timah_Road,https://en.wikipedia.org/wiki/Bukit_Timah_Road,Point(103.8129 1.3228),3.884,1.3228,103.8129,4.0,http://www.wikidata.org/entity/Q79007,Bukit Timah Road,street,C,yellow,,,,,,
130,http://www.wikidata.org/entity/Q24936775,,"https://en.wikipedia.org/wiki/Embassy_of_Switzerland,_Singapore",Point(103.78957 1.342539),3.7,1.342539,103.78957,4.0,http://www.wikidata.org/entity/Q3917681,"Embassy of Switzerland, Singapore",embassy,C,yellow,,,,,,
131,http://www.wikidata.org/entity/Q27965162,,https://en.wikipedia.org/wiki/The_Chinese_High_School_(Singapore),Point(103.803491 1.32654),3.836,1.32654,103.803491,4.0,http://www.wikidata.org/entity/Q9826,The Chinese High School,high school,C,yellow,,,,,,
132,http://www.wikidata.org/entity/Q28197076,,https://en.wikipedia.org/wiki/Hwa_Chong_Junior_College,Point(103.803491 1.32654),3.836,1.32654,103.803491,4.0,http://www.wikidata.org/entity/Q6313528,Hwa Chong Junior College,junior college,C,yellow,,,,,,
133,http://www.wikidata.org/entity/Q2841807,,,Point(103.814122 1.322199),3.927,1.322199,103.814122,3.0,http://www.wikidata.org/entity/Q3917681,"Embassy of France, Singapore",embassy,C,yellow,,,,,,
134,http://www.wikidata.org/entity/Q4761842,,https://en.wikipedia.org/wiki/Ang_Mo_Kio_Public_Library,Point(103.845 1.37477),3.448,1.37477,103.845,3.0,http://www.wikidata.org/entity/Q28564,Ang Mo Kio Public Library,public library,C,yellow,,,,,,
139,http://www.wikidata.org/entity/Q4917328,,https://en.wikipedia.org/wiki/Bishan_Depot,Point(103.854 1.35529),3.84,1.35529,103.854,3.0,http://www.wikidata.org/entity/Q10283556,Bishan Depot,motive power depot,C,yellow,,,,,,
140,http://www.wikidata.org/entity/Q5117039,,"https://en.wikipedia.org/wiki/Church_of_Saint_Francis_Xavier,_Singapore",Point(103.8637 1.3582),4.915,1.3582,103.8637,3.0,http://www.wikidata.org/entity/Q16970,Church of Saint Francis Xavier,church building,C,yellow,,,,,,
141,http://www.wikidata.org/entity/Q6040895,,https://en.wikipedia.org/wiki/Institute_of_Technical_Education,Point(103.855177 1.376613),4.52,1.376613,103.855177,3.0,http://www.wikidata.org/entity/Q5341295,Institute of Technical Education,educational organization,C,yellow,,,,,,
143,http://www.wikidata.org/entity/Q6514349,,https://en.wikipedia.org/wiki/Lee_Kuan_Yew_School_of_Public_Policy,Point(103.81747 1.3198),4.154,1.3198,103.81747,3.0,http://www.wikidata.org/entity/Q11391922,Lee Kuan Yew School of Public Policy,public policy school,C,yellow,,,,,,
