,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,thing,articleEN,to_drop_key
371,https://www.atlasobscura.com/places/bird-hall-of-bamberg-natural-history-museum,49.894484,10.887971,"
Bird Hall of Bamberg Natural History Museum
","
A beautiful collection of taxidermy birds and rare pomological wax models.
",atlas_obscura,gold,,,,,,,,,,,,,"(49.894484, 10.887971)"
772,,49.882822960229,10.728634784823,Verwalterhaus,,D,blue,,,house,,Point(10.728634784 49.88282296),11.376,http://www.wikidata.org/entity/Q41371244,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.882822960229', '10.728634784823')"
773,,49.88177,10.72936,Verwalterhaus,,D,blue,,,house,,Point(10.72936 49.88177),11.335,http://www.wikidata.org/entity/Q41371248,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.88177', '10.72936')"
774,,49.894536,10.725753,Q41371258,,D,blue,,,house,,Point(10.725753 49.894536),11.544,http://www.wikidata.org/entity/Q41371258,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.894536', '10.725753')"
775,,49.894703,10.72609,Bauernhaus,,D,blue,,,house,,Point(10.72609 49.894703),11.52,http://www.wikidata.org/entity/Q41371261,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.894703', '10.72609')"
776,,49.894143464768,10.726084708012,Schloss,,D,blue,,,Schloss,,Point(10.726084708 49.894143464),11.519,http://www.wikidata.org/entity/Q41371265,1.0,,,http://www.wikidata.org/entity/Q16823155,,"('49.894143464768', '10.726084708012')"
777,,49.79746,11.01103,Scheune,,D,blue,,,cultural heritage ensemble,,Point(11.01103 49.79746),13.743,http://www.wikidata.org/entity/Q41376057,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.79746', '11.01103')"
778,,49.79764,11.01006,"Egloffsteiner Ring 2, Umfassungsmauer",,D,blue,,,cultural heritage ensemble,,Point(11.01006 49.79764),13.682,http://www.wikidata.org/entity/Q41376062,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.79764', '11.01006')"
780,,49.79688,11.0094,Pfarrhaus,,D,blue,,,clergy house,,Point(11.0094 49.79688),13.717,http://www.wikidata.org/entity/Q41376065,1.0,,,http://www.wikidata.org/entity/Q607241,,"('49.79688', '11.0094')"
781,,49.79634,11.01008,Mühle,,D,blue,,,cultural heritage ensemble,,Point(11.01008 49.79634),13.794,http://www.wikidata.org/entity/Q41376070,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.79634', '11.01008')"
782,,49.79658,11.00785,Egloffsteiner Ring 28a,,D,blue,,,cultural heritage ensemble,,Point(11.00785 49.79658),13.672,http://www.wikidata.org/entity/Q41376068,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.79658', '11.00785')"
783,,49.79685,11.00915,Saalkirche,,D,blue,,,chapel,,Point(11.00915 49.79685),13.708,http://www.wikidata.org/entity/Q41376074,1.0,,,http://www.wikidata.org/entity/Q108325,,"('49.79685', '11.00915')"
784,,49.79089,11.00055,Pfarrhaus,,D,blue,,,cultural heritage ensemble,,Point(11.00055 49.79089),13.852,http://www.wikidata.org/entity/Q41376085,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.79089', '11.00055')"
785,,49.79112,11.00084,St. Sigismund,,D,blue,,,ossuary,,Point(11.00084 49.79112),13.844,http://www.wikidata.org/entity/Q41376097,1.0,,,http://www.wikidata.org/entity/Q255595,,"('49.79112', '11.00084')"
786,,49.98835,10.85226,Straßenbrücke,,D,blue,,,cultural heritage ensemble,,Point(10.85226 49.98835),11.038,http://www.wikidata.org/entity/Q41376106,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.98835', '10.85226')"
