,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,link,name,description,address,url
1318,http://www.wikidata.org/entity/Q30608873,,,Point(18.641194 54.351889),2.398,54.351889,18.641194,1.0,http://www.wikidata.org/entity/Q41176,27 Nowe Ogrody Street in Gdańsk,building,D,blue,,,,,
1319,http://www.wikidata.org/entity/Q30608926,,,Point(18.640333 54.351806),2.42,54.351806,18.640333,1.0,http://www.wikidata.org/entity/Q19691007,28-29 Nowe Ogrody Street in Gdańsk,institutional complex,D,blue,,,,,
1320,http://www.wikidata.org/entity/Q30609037,,,Point(18.639306 54.352056),2.41,54.352056,18.639306,1.0,http://www.wikidata.org/entity/Q41176,30 Nowe Ogrody Street in Gdańsk,building,D,blue,,,,,
1321,http://www.wikidata.org/entity/Q30609151,,,Point(18.648222 54.348611),2.704,54.348611,18.648222,1.0,http://www.wikidata.org/entity/Q3947,3 Ogarna Street in Gdańsk,house,D,blue,,,,,
1322,http://www.wikidata.org/entity/Q30609185,,,Point(18.649167 54.348361),2.73,54.348361,18.649167,1.0,http://www.wikidata.org/entity/Q3947,11 Ogarna Street in Gdańsk,house,D,blue,,,,,
1323,http://www.wikidata.org/entity/Q30609231,,,Point(18.650667 54.347917),2.781,54.347917,18.650667,1.0,http://www.wikidata.org/entity/Q3947,26 Ogarna Street in Gdańsk,house,D,blue,,,,,
1324,http://www.wikidata.org/entity/Q30609349,,,Point(18.651 54.347806),2.794,54.347806,18.651,1.0,http://www.wikidata.org/entity/Q3947,30 Ogarna Street in Gdańsk,house,D,blue,,,,,
1325,http://www.wikidata.org/entity/Q30609399,,,Point(18.651083 54.347806),2.794,54.347806,18.651083,1.0,http://www.wikidata.org/entity/Q3947,31 Ogarna Street in Gdańsk,house,D,blue,,,,,
1326,http://www.wikidata.org/entity/Q30609455,,,Point(18.652333 54.347444),2.838,54.347444,18.652333,1.0,http://www.wikidata.org/entity/Q3947,42-43 Ogarna Street in Gdańsk,house,D,blue,,,,,
1327,http://www.wikidata.org/entity/Q30609506,,,Point(18.652417 54.347417),2.842,54.347417,18.652417,1.0,http://www.wikidata.org/entity/Q3947,44-45 Ogarna Street in Gdańsk,house,D,blue,,,,,
1328,http://www.wikidata.org/entity/Q30609560,,,Point(18.65375 54.347083),2.886,54.347083,18.65375,1.0,http://www.wikidata.org/entity/Q3947,58 Ogarna Street in Gdańsk,house,D,blue,,,,,
1329,http://www.wikidata.org/entity/Q30609614,,,Point(18.654222 54.346944),2.904,54.346944,18.654222,1.0,http://www.wikidata.org/entity/Q3947,65 Ogarna Street in Gdańsk,house,D,blue,,,,,
1330,http://www.wikidata.org/entity/Q30609675,,,Point(18.649 54.348667),2.696,54.348667,18.649,1.0,http://www.wikidata.org/entity/Q3947,123 Ogarna Street in Gdańsk,house,D,blue,,,,,
1331,http://www.wikidata.org/entity/Q30609736,,,Point(18.646444 54.349528),2.608,54.349528,18.646444,1.0,http://www.wikidata.org/entity/Q41176,1 Okopowa Street in Gdańsk,building,D,blue,,,,,
1332,http://www.wikidata.org/entity/Q30609802,,,Point(18.646417 54.349278),2.636,54.349278,18.646417,1.0,http://www.wikidata.org/entity/Q1723032,3 Okopowa Street in Gdańsk,kamienica,D,blue,,,,,
1333,http://www.wikidata.org/entity/Q30610114,,,Point(18.645806 54.346444),2.953,54.346444,18.645806,1.0,http://www.wikidata.org/entity/Q1723032,17 Okopowa Street in Gdańsk,kamienica,D,blue,,,,,
1334,http://www.wikidata.org/entity/Q30610416,,,Point(18.659101371 54.352075026),2.401,54.352075026865,18.659101371396,1.0,http://www.wikidata.org/entity/Q114768,Gdańsk Królewski Hotel,granary,D,blue,,,,,
1335,http://www.wikidata.org/entity/Q30610482,,,Point(18.650817 54.349972),2.553,54.349972,18.650817,1.0,http://www.wikidata.org/entity/Q3947,15 Piwna Street in Gdańsk,house,D,blue,,,,,
1336,http://www.wikidata.org/entity/Q30610542,,,Point(18.650922 54.349944),2.556,54.349944,18.650922,1.0,http://www.wikidata.org/entity/Q3947,16 Piwna Street in Gdańsk,house,D,blue,,,,,
1337,http://www.wikidata.org/entity/Q30610598,,,Point(18.651578 54.34975),2.58,54.34975,18.651578,1.0,http://www.wikidata.org/entity/Q3947,22 Piwna Street in Gdańsk,house,D,blue,,,,,
1338,http://www.wikidata.org/entity/Q30610655,,,Point(18.651581 54.350069),2.544,54.350069,18.651581,1.0,http://www.wikidata.org/entity/Q3947,50-51 Piwna Street in Gdańsk,house,D,blue,,,,,
1339,http://www.wikidata.org/entity/Q30610716,,,Point(18.651442 54.350106),2.54,54.350106,18.651442,1.0,http://www.wikidata.org/entity/Q3947,52-53 Piwna Street in Gdańsk,house,D,blue,,,,,
1340,http://www.wikidata.org/entity/Q30610774,,,Point(18.651242 54.350172),2.532,54.350172,18.651242,1.0,http://www.wikidata.org/entity/Q3947,54 Piwna Street in Gdańsk,house,D,blue,,,,,
1341,http://www.wikidata.org/entity/Q30610823,,,Point(18.651167 54.3502),2.528,54.3502,18.651167,1.0,http://www.wikidata.org/entity/Q3947,55 Piwna Street in Gdańsk,house,D,blue,,,,,
1342,http://www.wikidata.org/entity/Q30610867,,,Point(18.651039 54.350242),2.523,54.350242,18.651039,1.0,http://www.wikidata.org/entity/Q3947,57 Piwna Street in Gdańsk,house,D,blue,,,,,
1343,http://www.wikidata.org/entity/Q30610891,,,Point(18.650806 54.350322),2.514,54.350322,18.650806,1.0,http://www.wikidata.org/entity/Q3947,59 Piwna Street in Gdańsk,house,D,blue,,,,,
1344,http://www.wikidata.org/entity/Q30610917,,,Point(18.6507 54.350347),2.511,54.350347,18.6507,1.0,http://www.wikidata.org/entity/Q3947,60 Piwna Street in Gdańsk,house,D,blue,,,,,
1345,http://www.wikidata.org/entity/Q30610977,,,Point(18.650439 54.350425),2.502,54.350425,18.650439,1.0,http://www.wikidata.org/entity/Q3947,61 Piwna Street in Gdańsk,house,D,blue,,,,,
1346,http://www.wikidata.org/entity/Q30611030,,,Point(18.650614 54.350378),2.507,54.350378,18.650614,1.0,http://www.wikidata.org/entity/Q3947,63 Piwna Street in Gdańsk,house,D,blue,,,,,
1347,http://www.wikidata.org/entity/Q30611080,,,Point(18.650278 54.350472),2.496,54.350472,18.650278,1.0,http://www.wikidata.org/entity/Q3947,64 Piwna Street in Gdańsk,house,D,blue,,,,,
1348,http://www.wikidata.org/entity/Q30611134,,,Point(18.650119 54.350514),2.491,54.350514,18.650119,1.0,http://www.wikidata.org/entity/Q3947,66 Piwna Street in Gdańsk,house,D,blue,,,,,
1349,http://www.wikidata.org/entity/Q30611225,,,Point(18.64744 54.34902),2.66,54.34902,18.64744,1.0,http://www.wikidata.org/entity/Q41176,10 Podgarbary Street in Gdańsk,building,D,blue,,,,,
1350,http://www.wikidata.org/entity/Q30611280,,,Point(18.64791 54.34844),2.723,54.34844,18.64791,1.0,http://www.wikidata.org/entity/Q41176,Dom Harcerza in Gdańsk,building,D,blue,,,,,
1351,http://www.wikidata.org/entity/Q30611335,,,Point(18.651167264 54.353614292),2.149,54.353614292438,18.651167264331,1.0,http://www.wikidata.org/entity/Q3947,10-11 Podmłyńska Street in Gdańsk,house,D,blue,,,,,
1352,http://www.wikidata.org/entity/Q30611486,,,Point(18.648111 54.342056),3.432,54.342056,18.648111,1.0,http://www.wikidata.org/entity/Q3947,9 Pod Zrębem Street in Gdańsk,house,D,blue,,,,,
1353,http://www.wikidata.org/entity/Q30611535,,,Point(18.65486 54.34747),2.851,54.34747,18.65486,1.0,http://www.wikidata.org/entity/Q3947,3 Powroźnicza Street in Gdańsk,house,D,blue,,,,,
1354,http://www.wikidata.org/entity/Q30611575,,,Point(18.659306 54.339917),3.725,54.339917,18.659306,1.0,http://www.wikidata.org/entity/Q3947,2 Reduta Wyskok Street in Gdańsk,house,D,blue,,,,,
1355,http://www.wikidata.org/entity/Q30611922,,,Point(18.65633 54.35219),2.348,54.35219,18.65633,1.0,http://www.wikidata.org/entity/Q3947,19 Straganiarska Street in Gdańsk,house,D,blue,,,,,
1356,http://www.wikidata.org/entity/Q30611961,,,Point(18.656417 54.352181),2.35,54.352181,18.656417,1.0,http://www.wikidata.org/entity/Q3947,23 Straganiarska Street in Gdańsk,house,D,blue,,,,,
1357,http://www.wikidata.org/entity/Q30612002,,,Point(18.656583 54.352172),2.353,54.352172,18.656583,1.0,http://www.wikidata.org/entity/Q3947,24 Straganiarska Street in Gdańsk,house,D,blue,,,,,
1358,http://www.wikidata.org/entity/Q30612032,,,Point(18.65125 54.351583),2.375,54.351583,18.65125,1.0,http://www.wikidata.org/entity/Q3947,16 Szeroka Street in Gdańsk,house,D,blue,,,,,
1359,http://www.wikidata.org/entity/Q30612059,,,Point(18.655594 54.350806),2.491,54.350806,18.655594,1.0,http://www.wikidata.org/entity/Q3947,52 Szeroka Street in Gdańsk,house,D,blue,,,,,
1360,http://www.wikidata.org/entity/Q30612072,,,Point(18.656639 54.350889),2.493,54.350889,18.656639,1.0,http://www.wikidata.org/entity/Q3947,74-76 Szeroka Street in Gdańsk,house,D,blue,,,,,
